group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Planktivores,3.007323841230849,feeding guild,Benthosema pterotum; Bregmaceros macclellandii; Acropoma japonicum; Secutor ruconius; Thryssa dussumieri; Thryssa vitrirostris; Thryssa kammalensis; Apogon lineatus; Regalecus russelii; Stolephorus commersonnii; Sardinella aurita; Erisphex pottii,Sardinops sagax; Engraulis japonicus; Cololabis saira; Clupeidae; Ammodytes personatus; Dussumieria (23 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Every listed member is under 30 cm and the paper names Benthosema pterotum (3.5 cm maximum) as the group's dominant species in M2018. That size band is why `Marine fishes not identified`, which Sea Around Us classes Medium demersals (30 - 89 cm), is not apportioned onto this group; the single largest judgement call in the mapping, and the one a reviewer should test first."
Benthivores,2.846936152547148,feeding guild,Johnius belangerii; Johnius distinctus; Uroconger lepturus; Narcine lingula; Polydactylus sextarius; Acanthocepola limbata; Parapercis sexfasciata; Rhynchoconger ectenurus; Chelidonichthys kumu; Dasyatis zugei; Lepidotrigla hime; Ostorhinchus angustatus; Diodon holocanthus; Uranoscopus japonicus,Marine fishes not identified; Sciaenidae; Stephanolepis cirrhifer; Pleuronectidae; Monacanthidae; Planiliza haematocheilus (31 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Demersal feeders on benthic invertebrates. This is also the model's only home for batoids: Narcine lingula and Dasyatis zugei are listed here and there is no separate ray group. It is used as well for the landed mullets, whose diet of detritus and benthic microalgae the model has no compartment for; those rows are flagged low/analogue."
Piscivores,3.508809514410474,feeding guild,Scomberomorus niphonius; Harpadon nehereus; Antennarius striatus; Lepturacanthus savala; Fistularia petimba; Coelorinchus multispinulosus; Sphyraena pinguis; Muraenesox cinereus; Sphyraena japonica; Pennahia argentata; Scomberomorus guttatus; Coryphaena hippurus; Auxis thazard; Tentoriceps cristatus; Saurida tumbil,Marine fishes not identified; Sciaenidae; Muraenesox cinereus; Scomberomorus; Scomberomorus niphonius; Katsuwonus pelamis (64 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Two of the listed names are duplicated elsewhere in Supplementary Table S1: Harpadon nehereus also constitutes the Bombay duck group and Pennahia argentata reappears as 'Pennahia argentatus' under Benthivores/piscivores. Both were resolved to the other group, Harpadon to its dedicated single-species compartment and Pennahia on the strength of the paper's discussion, which names 'benthivores/piscivores (Pennahia argentatus and Nemipterus virgatus)'. The listed members include oceanic predators (Coryphaena hippurus, Auxis thazard), which is why tunas and billfishes were placed here rather than left unresolved."
Hairtails,3.206991188715405,single stock,Trichiurus lepturus,Trichiurus lepturus; Trichiuridae (2 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"One species, separated for its commercial value. Two other trichiurids, Lepturacanthus savala and Tentoriceps cristatus, sit in Piscivores, but Trichiurus lepturus is effectively the whole East China Sea hairtail landing, so the family-level record was not split."
Bombay duck,3.772674520514855,single stock,Harpadon nehereus,Harpadon nehereus (1 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"One species, separated for its commercial value. Also listed under Piscivores; the dedicated group takes the catch record. The paper notes that no Bombay duck catch is recorded in the China Fishery Statistical Yearbook even though it is a dominant species, so this group's model catch is zero while Sea Around Us reports 1.3 Mt over the period."
Planktivores/Benthivores,2.958320591355371,feeding guild,Setipinna tenuifilis; Psenopsis anomala; Scomber japonicus; Regalecus glesne; Remora remora,Scomber japonicus; Scomber; Psenopsis anomala; Scombridae; Scomber australasicus; Pleurogrammus azonus (10 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Mixed plankton and benthos feeders. Its listed members are pelagic, which is why it is excluded from the demersal unidentified-finfish composite. Chub mackerel alone (Scomber japonicus plus the Scomber genus record) is 7.8 % of the LME's tonnage, so this group is heavily weighted by a single stock. Psenopsis anomala is listed here and also under Planktivores/piscivores."
Planktivores/piscivores,3.098580953503004,feeding guild,Decapterus maruadsi; Trachurus japonicus; Psenopsis anomala; Parastromateus niger; Pampus chinensis; Pampus argenteus; Mene maculata; Aluterus monoceros,Marine fishes not identified; Monacanthidae; Pampus; Oncorhynchus; Carangidae; Psenopsis anomala (28 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"Written 'Planktivores/Piscivores' in Supplementary Table S1 and 'Planktivores/piscivores' in the model's own groups_df and in the paper's Table 1; the workbook spelling is authoritative. The paper names Decapterus maruadsi as the group's dominant species and the keystone of M1997. Supplementary Table S1 lists this group before Planktivores/Benthivores, the reverse of the order in the diet matrices, Table 1 and groups_df; the assignment here follows the names, not the row order."
Benthivores/piscivores,3.13873617353427,feeding guild,Pennahia argentatus; Nemipterus virgatus; Pisodonophis cancrivorus; Atrobucca nibe; Miichthys miiuy; Ariosoma anago; Priacanthus macracanthus; Cynoglossus joyneri; Rexea prometheoides; Lagocephalus spadiceus,Marine fishes not identified; Sciaenidae; Pennahia argentata; Gadus macrocephalus; Nemipterus; Nemipteridae (33 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,Medium demersal generalists on benthic invertebrates and small fish. The paper's discussion names 'Pennahia argentatus and Nemipterus virgatus' as the group's exemplars.
Omnivores,3.13932907764769,feeding guild,Ilisha elongata; Nibea albiflora; Ostorhinchus fasciatus; Eleutheronema tetradactylum; Acanthopagrus schlegelii; Synagrops japonicus; Collichthys lucidus; Caranx sexfasciatus,Marine fishes not identified; Sciaenidae; Carangidae; Sparidae; Pagrus major; Ilisha elongata (19 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"A broad-diet guild rather than a herbivore group; every listed member is a carnivore with a mixed diet. The model has no herbivore or detritivore fish compartment at all, which is why parrotfishes are left unresolved and milkfish and the mullets are flagged low."
Large yellow croakers,3.390382324723566,single stock,Larimichthys crocea,Sciaenidae; Larimichthys crocea (2 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"One species, separated for its commercial value; the paper discusses hatchery release into the East China Sea."
Small yellow croakers,3.146723685909917,single stock,Larimichthys polyactis,Larimichthys polyactis; Sciaenidae (2 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"One species, separated for its commercial value."
Sharks,4.081369216765723,taxonomic,Scoliodon laticaudus,Elasmobranchii; Squalidae; Chondrichthyes; Isurus; Hemitriakis japanica; Prionace glauca (12 catch taxa in all),"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"One named species but functionally the model's shark pool, parameterised as a top predator (TL 4.08 in M1997, 4.24 in M2018). Every shark catch record lands here; the whale shark, a filter feeder, is flagged low because the group's parameterisation contradicts its diet. Rays do not land here - Supplementary Table S1 puts the model's batoids in Benthivores."
Marine mammals,3.813643593695144,single guild,Sousa chinensis,no catch taxa mapped here,"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,Takes no catch in this LME's records.
Detritus,1,non-living,-,no catch taxa mapped here,"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",direct source,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,Listed in Supplementary Table S1 with no species ('-'). Cannot take catch; the validator rejects any taxon mapped here.
diet_import,1,non-living,not documented,no catch taxa mapped here,"Xu et al. (2022) Supplementary Table S1, 'Description of the functional groups for the East China Sea (ECS) ecosystem model in M2018'",analyst inference,"PPRAtlas/archive/regions/LME_047/ECS-2022/DataSheet_1_EstimatingtheImpactofaSeasonal-7491f315.docx, Supplementary Table 1 (4th table in the file); group numbering confirmed against Table 1 and Figure 5 of PPRAtlas/archive/regions/LME_047/ECS-2022/pdf-e60d0358.pdf",https://doi.org/10.3389/fmars.2022.865645,"An Ecopath bookkeeping compartment for imported diet, not a group in the paper's Supplementary Table S1, which lists 24 groups. Cannot take catch."
