group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
1 S pelagics,3.096,"spatial stratum (region 1) x size and habitat (small pelagics, clupeoids and engraulids)","Anodontostoma chacunda, Sardinella longiceps, Sardinella fimbriata, Dussumieria elopsoides, Nematalosa nasus, Herklotsichthys quadrimaculatus, Spratelloides delicatulus, Sardinella gibbosa, Sardinella melanura, Sardinella albella, Sardinella lemuru, Opisthopterus tardoore, Spratelloides gracilis, Amblygaster sirm, ...","Amblygaster sirm; Anchoviella; Anodontostoma chacunda; Bregmaceros mcclellandi; Clupeidae; Clupeiformes; Clupeoids; Dussumieria; Dussumieria elopsoides; Encrasicholina heteroloba; Engraulidae; Exocoetidae; Hemiramphidae; Hemiramphus; Hyporhamphus; Lactarius lactarius; Pellona; Pellona ditchela; Sard, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 30,998 km2 (shelf of the region) (A1.2). No LME_034 catch is mapped onto it: region 1's only shelf is the Maldives shelf, which lies outside the Bay of Bengal LME."
1 L pisc comm,3.847,"spatial stratum (region 1) x size, habitat and feeding guild (large commercial demersal piscivores)","Epinephelus fuscoguttatus, Epinephelus lanceolatus, Epinephelus coioides, Epinephelus flavocaeruleus, Epinephelus malabaricus, Epinephelus latifasciatus, Epinephelus multinotatus, Epinephelus polyphekadion, Plectropomus areolatus, Plectropomus pessuliferus, Plectropomus laevis, Variola louti, Epinephelus morrhua, ...","Aethaloperca rogaa; Aphareus rutilans; Aprion virescens; Cephalopholis argus; Cephalopholis boenak; Cephalopholis miniata; Epinephelus; Epinephelus fuscoguttatus; Epinephelus polyphekadion; Epinephelus tauvina; Harpadon nehereus; Lethrinidae; Lethrinus; Lethrinus harak; Lethrinus microdon; Lethrinus, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 30,998 km2 (shelf of the region) (A1.2). No LME_034 catch is mapped onto it: region 1's only shelf is the Maldives shelf, which lies outside the Bay of Bengal LME."
1 SM inv,3.082,spatial stratum (region 1) x size and feeding guild (small-medium invertivores),"Acanthopagrus latus, Acanthopagrus berda, Rhabdosargus sarba, Pampus argenteus, Pampus chinensis, Acanthurus triostegus, Acanthurus leucosternon, Siganus canaliculatus, Siganus guttatu, Siganus fuscescens, Siganus argenteus, Siganus corallinus, Siganus lineatus, Siganus puelloides, Myripristis murdjan, Kyphosus cinerascens, ...","Acanthopagrus latus; Acanthuridae; Acanthurus; Acanthurus lineatus; Aluterus; Ambassidae; Apogonidae; Ariidae; Arius; Atherinomorus lacunosus; Bothidae; Caesio; Caesio caerulaurea; Caesio lunaris; Caesionidae; Cynoglossidae; Cynoglossus; Ephippidae; Gazza minuta; Gerreidae; Gerres; Gobiidae; Holocen, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 30,998 km2 (shelf of the region) (A1.2). No LME_034 catch is mapped onto it: region 1's only shelf is the Maldives shelf, which lies outside the Bay of Bengal LME."
1 SM pisc,3.598,spatial stratum (region 1) x size and feeding guild (small-medium piscivores),"Argyrops spinifer, Saurida gracilis, Dactyloptena orientalis, Atule mate, Priacanthus macracanthus, Priacanthus tayenus, Priacanthus hamrur, Pseudorhombus arsius, Pseudorhombus javanicus, Psettodes erumei, Glossogobius giuris, Abalistes stellaris, Scomberoides tol, Naucrates ductor, Drepane punctata, Drepane longimana, ...","Abalistes stellaris; Ambassidae; Ariidae; Ariomma indicum; Bramidae; Drepane; Drepane punctata; Gobiidae; Haemulidae; Holocentridae; Nemipteridae; Nemipterus; Nemipterus japonicus; Plectorhinchus; Pleuronectidae; Pomadasys; Pomadasys argenteus; Priacanthus; Psettodes erumei; Psettodidae; Pseudorhomb, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 30,998 km2 (shelf of the region) (A1.2). No LME_034 catch is mapped onto it: region 1's only shelf is the Maldives shelf, which lies outside the Bay of Bengal LME."
1 Macrobenthos,2.368,"spatial stratum (region 1) x taxonomic residual pool (molluscs, echinoderms, worms, small benthic crustaceans)","shrimps, prawns, lobsterx, crabs, molluscs, worms, small benthic crustaceans","Aquatic invertebrates; Arcidae; Bivalvia; Bohadschia marmorata; Clams or cockles and arkshells; Crassostrea; Crassostrea madrasensis; Gastropoda; Harpago chiragra; Holothuria atra; Holothuria edulis; Holothuriidae; Holothuroidea; Lambis lambis; Meretrix; Miscellaneous aquatic invertebrates; Miscella, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 2,845,297 km2 (EEZ of the region) (A1.2). No LME_034 catch is mapped onto it: region 1 is the Maldives EEZ and the high seas, essentially outside the Bay of Bengal LME."
1 Meiobenthos,2.0,spatial stratum (region 1) x trophic compartment (meiofauna),"e,g, benthic copepods",,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 2,845,297 km2 (EEZ of the region) (A1.2). No LME_034 catch is mapped onto it: region 1 is the Maldives EEZ and the high seas, essentially outside the Bay of Bengal LME."
1 Zooplankton,2.0,spatial stratum (region 1) x trophic compartment (zooplankton),"copepods, fish and invertebrate eggs, euphausiids, chaetognats, siphonophora",,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 1 - the Maldives EEZ (915,423 km2) plus the high seas of the study area (1,929,874 km2); its entire shelf, 30,998 km2, is the Maldives shelf, which lies west of the Bay of Bengal LME boundary. Area used: 2,845,297 km2 (EEZ of the region) (A1.2). No LME_034 catch is mapped onto it: region 1 is the Maldives EEZ and the high seas, essentially outside the Bay of Bengal LME."
2 L pisc,4.124,"spatial stratum (region 2) x size, habitat and feeding guild (large piscivores)","Sphyraena jello, Sphyraena barracuda, Sphyraena obtusata, Lates calcarifer, Pristis perotteti, Lepturacanthus savala, Trichiurus lepturus, Coryphaena hippurus, Coryphaena equiselis, Pomatomus saltatrix, Albula vulpes, Ablennes hians, Tylosurus crocodilus crocodilus, Strongylura leiura, Chirocentrus dorab, Chirocentrus nudus, ...","Anguilla; Anguilliformes; Belonidae; Centropomidae; Chirocentrus; Chirocentrus dorab; Chirocentrus nudus; Congresox talabonoides; Congridae; Coryphaena; Coryphaena hippurus; Eleutheronema tetradactylum; Ephippidae; Fistulariidae; Labridae; Lates calcarifer; Latidae; Lobotes surinamensis; Megalops cy, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 2 - the EEZs of Bangladesh, India (east coast) and Sri Lanka; 1,282,459 km2 of EEZ and 213,663 km2 of shelf. Area used: 213,663 km2 (shelf of the region) (A1.2). 32 LME_034 catch taxa are mapped onto it, whole or in part."
2 Carangids,4.004,spatial stratum (region 2) x taxonomic (Carangidae),"Carangoides fulvoguttatus, Caranx sexfasciatus, Gnathanodon speciosus, Caranx melampygus, Seriolina nigrofasciata, Carangoides orthogrammus, Carangoides equula, Carangoides chrysophrys, Carangoides malabaricus, Carangoides hedlandensis, Carangoides ferdau, Carangoides coeruleopinnatus, Carangoides talamparoides, ...","Alectis ciliaris; Alectis indica; Alepes; Carangidae; Carangoides; Carangoides coeruleopinnatus; Carangoides ferdau; Carangoides malabaricus; Carangoides orthogrammus; Caranx; Caranx hippos; Caranx ignobilis; Caranx lugubris; Caranx melampygus; Caranx sexfasciatus; Decapterus; Decapterus russelli; E, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 2 - the EEZs of Bangladesh, India (east coast) and Sri Lanka; 1,282,459 km2 of EEZ and 213,663 km2 of shelf. Area used: 213,663 km2 (shelf of the region) (A1.2). 20 LME_034 catch taxa are mapped onto it, whole or in part."
2 S pelagics,3.13,"spatial stratum (region 2) x size and habitat (small pelagics, clupeoids and engraulids)","Anodontostoma chacunda, Sardinella longiceps, Sardinella fimbriata, Dussumieria elopsoides, Nematalosa nasus, Herklotsichthys quadrimaculatus, Spratelloides delicatulus, Sardinella gibbosa, Sardinella melanura, Sardinella albella, Sardinella lemuru, Opisthopterus tardoore, Spratelloides gracilis, Amblygaster sirm, ...","Amblygaster sirm; Anchoviella; Anodontostoma chacunda; Bregmaceros mcclellandi; Clupeidae; Clupeiformes; Clupeoids; Dussumieria; Dussumieria elopsoides; Encrasicholina heteroloba; Engraulidae; Exocoetidae; Hemiramphidae; Hemiramphus; Hyporhamphus; Lactarius lactarius; Pellona; Pellona ditchela; Sard, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 2 - the EEZs of Bangladesh, India (east coast) and Sri Lanka; 1,282,459 km2 of EEZ and 213,663 km2 of shelf. Area used: 213,663 km2 (shelf of the region) (A1.2). 26 LME_034 catch taxa are mapped onto it, whole or in part."
2 L pisc comm,3.911,"spatial stratum (region 2) x size, habitat and feeding guild (large commercial demersal piscivores)","Epinephelus fuscoguttatus, Epinephelus lanceolatus, Epinephelus coioides, Epinephelus flavocaeruleus, Epinephelus malabaricus, Epinephelus latifasciatus, Epinephelus multinotatus, Epinephelus polyphekadion, Plectropomus areolatus, Plectropomus pessuliferus, Plectropomus laevis, Variola louti, Epinephelus morrhua, ...","Aethaloperca rogaa; Aphareus rutilans; Aprion virescens; Cephalopholis argus; Cephalopholis boenak; Cephalopholis miniata; Epinephelus; Epinephelus fuscoguttatus; Epinephelus polyphekadion; Epinephelus tauvina; Harpadon nehereus; Lethrinidae; Lethrinus; Lethrinus harak; Lethrinus microdon; Lethrinus, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 2 - the EEZs of Bangladesh, India (east coast) and Sri Lanka; 1,282,459 km2 of EEZ and 213,663 km2 of shelf. Area used: 213,663 km2 (shelf of the region) (A1.2). 23 LME_034 catch taxa are mapped onto it, whole or in part."
2 Milkfish plus,3.505,"spatial stratum (region 2) x taxonomic pool (milkfish, large ariid catfish, puffers)","Chamos chanos, Panfasius pangasius, Netuma thalassina, Diodon, hystrix, Arothron stellatus",Ariidae; Chanos chanos; Diodon; Netuma thalassina; Siluriformes; Tetraodontidae,Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 2 - the EEZs of Bangladesh, India (east coast) and Sri Lanka; 1,282,459 km2 of EEZ and 213,663 km2 of shelf. Area used: 213,663 km2 (shelf of the region) (A1.2). 5 LME_034 catch taxa are mapped onto it, whole or in part."
2 SM inv,3.11,spatial stratum (region 2) x size and feeding guild (small-medium invertivores),"Acanthopagrus latus, Acanthopagrus berda, Rhabdosargus sarba, Pampus argenteus, Pampus chinensis, Acanthurus triostegus, Acanthurus leucosternon, Siganus canaliculatus, Siganus guttatu, Siganus fuscescens, Siganus argenteus, Siganus corallinus, Siganus lineatus, Siganus puelloides, Myripristis murdjan, Kyphosus cinerascens, ...","Acanthopagrus latus; Acanthuridae; Acanthurus; Acanthurus lineatus; Aluterus; Ambassidae; Apogonidae; Ariidae; Arius; Atherinomorus lacunosus; Bothidae; Caesio; Caesio caerulaurea; Caesio lunaris; Caesionidae; Cynoglossidae; Cynoglossus; Ephippidae; Gazza minuta; Gerreidae; Gerres; Gobiidae; Holocen, ...",Guenette (2013) Appendix A1.3 species list and Appendix A1.1 catch-name allocation,direct source,"PPRAtlas/archive/regions/LME_034/LME034-Guenette-2013/009031359-84f3dc3d.pdf; Appendix A1.1 pp. 37-41 (catch name to functional group), A1.2 p. 42 (area per group), A1.3 pp. 43-45 (species list per group), Table 16 p. 24 (balanced parameters)",https://www.boblme.org/documentRepository/Bengal%20report%2028april2014.pdf,"Numeric prefix = region 2 - the EEZs of Bangladesh, India (east coast) and Sri Lanka; 1,282,459 km2 of EEZ and 213,663 km2 of shelf. Area used: 213,663 km2 (shelf of the region) (A1.2). 51 LME_034 catch taxa are mapped onto it, whole or in part."
