taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Sphyraena,"Barracudas, sennets",Large pelagics (>=90 cm),Perch-likes,Côtier pel L pred,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Clupeiformes,"Herrings, shads, anchovies",Small pelagics (<30 cm),Other fishes & inverts,Côtier pel S inv | Ethmalose,,medium,composite_split,"Anchovies, herrings/sardinellas and bonga occur in the coastal small-pelagic and named Ethmalose compartments in Table 6."
Carangidae,"Jacks, pompanos",Medium pelagics (30 - 89 cm),Perch-likes,Côtier M pred | Côtier pel L pred | Pel L pred | Pel S inv,,medium,composite_split,Family catch spans the union of all Table 6 member groups belonging to Carangidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Trichiurus lepturus,Largehead hairtail,Large benthopelagics (>=90 cm),Perch-likes,Côtier L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Sciaenidae,"Drums, croakers",Medium demersals (30 - 89 cm),Perch-likes,Bars | Côtier L pred | Côtier S pred | Dem L pred | Dem L inv,,medium,composite_split,"Table 6 explicitly separates Pseudotolithus (Bars), Argyrosomus (coastal large predators), Pteroscion (coastal small predators), Umbrina ronchus (demersal large predators), and U. canariensis (demersal large invertebrate feeders)."
Chloroscombrus chrysurus,Atlantic bumper,Medium pelagics (30 - 89 cm),Perch-likes,Côtier pel L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Sarotherodon melanotheron,Blackchin tilapia,Small demersals (<30 cm),Perch-likes,Unresolved,,unresolved,none,Freshwater/brackish-water catch has no documented cichlid/cyprinid group in the offshore-Guinea source. Extending the named Mulets pool would require diet and habitat evidence for this taxon.
Sepia,Sepia cuttlefishes,Cephalopods,Other fishes & inverts,Céphalopodes,,high,taxonomic_containment,"Source p.125 explicitly includes all cephalopods, including octopus, cuttlefish and squid."
Clupeidae,"Herrings, sardines, menhadens",Small pelagics (<30 cm),Herring-likes,Côtier pel S inv | Ethmalose,,medium,composite_split,Historical herring-family catch includes sardinellas and bonga. Table 6 separates Sardinella/Ilisha from Ethmalosa; current family-rank changes do not erase that commercial scope.
Scombridae,"Mackerels, tunas, bonitos",Medium pelagics (30 - 89 cm),Perch-likes,Thons majeurs | Thons mineurs | Pel S inv,,medium,composite_split,"Table 6 places Thunnus/Katsuwonus in major tunas, other tuna/bonito and Spanish mackerel taxa in minor tunas, and Scomber in small offshore pelagics."
Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,Sélaciens L prof | Sélaciens L côtiers | Sélaciens M prof | Sélaciens M côtiers,,medium,composite_split,The class-level catch spans all four documented shark/ray size and depth groups in Table 6.
Polydactylus quadrifilis,Giant African threadfin,Large demersals (>=90 cm),Perch-likes,Gros capitaine,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Thunnus obesus,Bigeye tuna,Large pelagics (>=90 cm),Tuna & billfishes,Thons majeurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Mugilidae,"Mullets, grey mullets",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Dem M inv | Mulets,,medium,composite_split,Family catch spans the union of all Table 6 member groups belonging to Mugilidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Polynemidae,Threadfins,Small demersals (<30 cm),Perch-likes,Gros capitaine | Petit capitaine | Capitaine royal,,medium,composite_split,Table 6 and Table 14 place the threadfins in three named capitaine stocks; source membership outranks the catch small-demersal label. Use period-wide identified-catch composition rather than Table 14's 1980s-specific assumed proportions.
Balistidae,Triggerfishes,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts,Dem M inv,,medium,taxonomic_containment,Family catch spans the union of all Table 6 member groups belonging to Balistidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Nematocarcinus africanus,African spider shrimp,Shrimps,Crustaceans,Crustacés,,high,taxonomic_containment,WoRMS crustacean taxonomy and SAU shrimp/crab/lobster class agree with the source Crustacés definition on p.125.
Haemulidae,"Grunts, sweetlips, bonnetmouths",Medium demersals (30 - 89 cm),Perch-likes,Côtier M inv | Côtier S inv | Dem M inv,,medium,composite_split,Family catch spans the union of all Table 6 member groups belonging to Haemulidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Cynoglossus,Tonguesoles,Small to medium flatfishes (<90 cm),Flatfishes,Côtier M inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Ilisha africana,West African ilisha,Medium pelagics (30 - 89 cm),Herring-likes,Côtier pel S inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Lutjanidae,Snappers,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Côtier L pred,,medium,taxonomic_containment,Family catch spans the union of all Table 6 member groups belonging to Lutjanidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Cynoglossus monodi,Guinean tonguesole,Small to medium flatfishes (<90 cm),Flatfishes,Côtier M inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Rachycentron canadum,Cobia,Large pelagics (>=90 cm),Perch-likes,Côtier pel L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Perciformes,Perch-likes,Medium demersals (30 - 89 cm),Perch-likes,Côtier L pred | Côtier M pred | Disques | Côtier M inv | Côtier S pred | Côtier S inv | Dem L pred | Dem L inv | Dem M pred | Dem M inv | Dem S pred | Dem S inv,,low,composite_split,Historical perch-like catch in the medium-demersal class spans coastal/shelf guilds with Table 6 perch-like representatives. Ariid catfish and mullet stocks are excluded. Each remaining generic group contains a documented perch-like member; no named single-stock group is added.
Caranx crysos,Blue runner,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Côtier pel L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Scombroidei,"Tunas, bonitos, billfishes",Large pelagics (>=90 cm),Tuna & billfishes,Thons majeurs | Thons mineurs | Pel S inv | Côtier L pred | Bathy L pred,,low,composite_split,"Historical suborder spans tuna/billfish members, Scomber in offshore small pelagics, Trichiurus in coastal large predators, and Gempylus/Lepidocybium in bathyal large predators; every candidate has a Table 6 representative."
Engraulidae,"Anchovies, round herrings",Small pelagics (<30 cm),Anchovies,Côtier pel S inv,,high,taxonomic_containment,Engraulis is listed in the coastal small-pelagic compartment; this is the model's anchovy-compatible pool.
Auxis rochei,Bullet tuna,Medium pelagics (30 - 89 cm),Tuna & billfishes,Thons mineurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Diplodus,Two-toothed seabreams,Medium benthopelagics (30 - 89 cm),Perch-likes,Côtier M inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Dentex,Toothed seabreams,Large benthopelagics (>=90 cm),Perch-likes,Côtier L pred | Dem M pred,,medium,composite_split,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Dendrobranchiata,Shrimps and prawns,Shrimps,Crustaceans,Crustacés,,high,taxonomic_containment,Penaeoid/prawn catch falls within the source's explicit shrimp-containing Crustacés definition (p.125).
Penaeus notialis,Southern pink shrimp,Shrimps,Crustaceans,Crustacés,,high,taxonomic_containment,WoRMS crustacean taxonomy and SAU shrimp/crab/lobster class agree with the source Crustacés definition on p.125.
Sparidae,"Porgies, seabreams",Medium benthopelagics (30 - 89 cm),Perch-likes,Côtier L pred | Côtier M inv | Côtier S inv | Dem L inv | Dem L pred | Dem M inv | Dem M pred | Mulets,,medium,composite_split,Family catch spans the union of all Table 6 member groups belonging to Sparidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Trachurus trecae,Cunene horse mackerel,Medium benthopelagics (30 - 89 cm),Perch-likes,Pel S inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Penaeidae,Commercial shrimps and prawns,Shrimps,Crustaceans,Crustacés,,high,taxonomic_containment,WoRMS crustacean taxonomy and SAU shrimp/crab/lobster class agree with the source Crustacés definition on p.125.
Pomadasys,Grunters,Medium demersals (30 - 89 cm),Perch-likes,Côtier M inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Sphyraenidae,Barracudas,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Côtier pel L pred,,medium,taxonomic_containment,Family catch spans the union of all Table 6 member groups belonging to Sphyraenidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Sarda sarda,Atlantic bonito,Medium pelagics (30 - 89 cm),Tuna & billfishes,Thons mineurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Dasyatidae,Whiptail stingrays,Large rays (>=90 cm),Sharks & rays,Sélaciens L côtiers | Sélaciens M côtiers,,medium,composite_split,Family catch spans the union of all Table 6 member groups belonging to Dasyatidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Pteroscion peli,Boe drum,Medium benthopelagics (30 - 89 cm),Perch-likes,Côtier S pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Sarotherodon galilaeus,Mango tilapia,Large reef assoc. fish (>=90 cm),Perch-likes,Unresolved,,unresolved,none,Freshwater/brackish-water catch has no documented cichlid/cyprinid group in the offshore-Guinea source. Extending the named Mulets pool would require diet and habitat evidence for this taxon.
Pseudotolithus senegalensis,Cassava croaker,Large demersals (>=90 cm),Perch-likes,Bars,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Parapenaeus longirostris,Deepwater rose shrimp,Shrimps,Crustaceans,Crustacés,,high,taxonomic_containment,WoRMS crustacean taxonomy and SAU shrimp/crab/lobster class agree with the source Crustacés definition on p.125.
Caranx hippos,Crevalle jack,Large reef assoc. fish (>=90 cm),Perch-likes,Côtier pel L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Marine pelagic fishes not identified,Pelagic fishes,Medium pelagics (30 - 89 cm),Other fishes & inverts,Côtier pel L pred | Côtier pel S inv | Pel L pred | Pel S inv,,low,composite_split,Pelagic nei is restricted to broad coastal and offshore pelagic pools. Named tuna/ethmalose stocks and bottom/bathyal groups are excluded.
Pentheroscion mbizi,Mbizi croaker,Medium demersals (30 - 89 cm),Perch-likes,Unresolved,,unresolved,none,This taxon is absent from Table 6 and lacks a unique documented guild/depth placement. A family or genus analogue may span several groups; habitat class alone cannot select the feeding guild.
Pentanemus quinquarius,Royal threadfin,Small demersals (<30 cm),Perch-likes,Capitaine royal,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Caranx,Jacks,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Côtier pel L pred,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Carlarius heudelotii,Smoothmouth sea catfish,Medium demersals (30 - 89 cm),Other fishes & inverts,Mâchoiron,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Scomber,Chub mackerels,Medium pelagics (30 - 89 cm),Perch-likes,Pel S inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Pagellus bellottii,Red pandora,Medium demersals (30 - 89 cm),Perch-likes,Dem M inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Pagrus,Subtropical seabreams,Medium benthopelagics (30 - 89 cm),Perch-likes,Dem L pred,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Pomadasys jubelini,Sompat grunt,Medium demersals (30 - 89 cm),Perch-likes,Côtier M inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Auxis thazard,Frigate tuna,Medium pelagics (30 - 89 cm),Tuna & billfishes,Thons mineurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Elops lacerta,West African ladyfish,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,Côtier pel L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Pseudotolithus typus,Longneck croaker,Large demersals (>=90 cm),Perch-likes,Bars,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Octopus vulgaris,Common octopus,Cephalopods,Other fishes & inverts,Céphalopodes,,high,taxonomic_containment,"Source p.125 explicitly includes all cephalopods, including octopus, cuttlefish and squid."
Lutjanus,Snappers,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Côtier L pred,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Drepane africana,African sicklefish,Medium benthopelagics (30 - 89 cm),Perch-likes,Disques,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Scomber colias,Atlantic chub mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Pel S inv,,medium,analogue,"Species not individually listed: its genus has one documented Table 6 group, supported by the catch's Medium pelagics (30 - 89 cm) class. Congeneric extension is inference."
Epinephelus,"Seabasses, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Côtier L pred | Dem L pred,,medium,composite_split,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Trachurus trachurus,Atlantic horse mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Pel S inv,,medium,analogue,"Species not individually listed: its genus has one documented Table 6 group, supported by the catch's Medium pelagics (30 - 89 cm) class. Congeneric extension is inference."
Argyrosomus regius,Meagre,Large benthopelagics (>=90 cm),Perch-likes,Côtier L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Scyris alexandrina,Alexandria pompano,Medium pelagics (30 - 89 cm),Perch-likes,Côtier pel L pred,,high,synonym,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Squalidae,Dogfish sharks,Large sharks (>=90 cm),Sharks & rays,Sélaciens L prof | Sélaciens M prof,,medium,composite_split,Family catch spans the union of all Table 6 member groups belonging to Squalidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Scomberomorus tritor,West African Spanish mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Thons mineurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Pagellus,Pandoras,Medium benthopelagics (30 - 89 cm),Perch-likes,Dem M inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Nematopalaemon hastatus,Estuarine prawn,Shrimps,Crustaceans,Crustacés,,high,taxonomic_containment,WoRMS crustacean taxonomy and SAU shrimp/crab/lobster class agree with the source Crustacés definition on p.125.
Selene dorsalis,African moonfish,Small demersals (<30 cm),Perch-likes,Côtier pel L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Trachinotus,Pompanos,Medium pelagics (30 - 89 cm),Perch-likes,Côtier pel L pred,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Balistes capriscus,Grey triggerfish,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,Dem M inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Pseudupeneus prayensis,West African goatfish,Medium demersals (30 - 89 cm),Perch-likes,Dem M inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Prionace glauca,Blue shark,Large sharks (>=90 cm),Sharks & rays,Sélaciens L prof,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Thunnus thynnus,Atlantic bluefin tuna,Large pelagics (>=90 cm),Tuna & billfishes,Thons majeurs,,medium,analogue,"Species not individually listed: its genus has one documented Table 6 group, supported by the catch's Large pelagics (>=90 cm) class. Congeneric extension is inference."
Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Thons majeurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Sepiida,"Cuttlefishes, bobtail squids",Cephalopods,Other fishes & inverts,Céphalopodes,,high,taxonomic_containment,"Source p.125 explicitly includes all cephalopods, including octopus, cuttlefish and squid."
Octopoda,"Octopuses, argonauts",Cephalopods,Other fishes & inverts,Céphalopodes,,high,taxonomic_containment,"Source p.125 explicitly includes all cephalopods, including octopus, cuttlefish and squid."
Euthynnus alletteratus,Little tunny ,Large pelagics (>=90 cm),Tuna & billfishes,Thons mineurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Rajiformes,Skates and rays,Large rays (>=90 cm),Sharks & rays,Sélaciens L prof | Sélaciens M prof,,medium,composite_split,"Rajidae/Arhynchobatidae members in Table 6 occur in both deep-water selacian size groups (Bathyraja, Leucoraja, Raja, Dipturus and Rajella); current order taxonomy excludes the torpedo and stingray families."
Solea,Soles,Small to medium flatfishes (<90 cm),Flatfishes,Côtier S inv,,low,analogue,Analyst analogue: sole genus shares benthic-invertebrate feeding and shelf habitat with the source's Pegusa/Dicologlossa small coastal invertebrate feeders. Species membership is not directly documented.
Stromateus fiatola,Blue butterfish,Medium benthopelagics (30 - 89 cm),Perch-likes,Côtier S pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,Crustacés,,medium,taxonomic_containment,SAU shrimp-category catch matches the commercial/noncommercial shrimp and crab/lobster pool described on p.125.
Sepiidae,Cuttlefishes,Cephalopods,Other fishes & inverts,Céphalopodes,,high,taxonomic_containment,"Source p.125 explicitly includes all cephalopods, including octopus, cuttlefish and squid."
Dentex gibbosus,Pink dentex,Large benthopelagics (>=90 cm),Perch-likes,Côtier L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Pleuronectiformes,Flatfishes,Small to medium flatfishes (<90 cm),Flatfishes,Côtier L pred | Côtier M inv | Côtier S pred | Côtier S inv | Dem L pred | Dem S pred | Dem S inv,,medium,composite_split,"All candidates have flatfish members in Table 6: Psettodes, Cynoglossus/Bothus, Citharus, Pegusa/Dicologlossa, Solitas, Arnoglossus/Solitas and Syacium respectively. The source lists Solitas twice; preserve that ambiguity."
Caranx rhonchus,False scad,Medium benthopelagics (30 - 89 cm),Perch-likes,Côtier pel L pred,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Chondrichthyes,"Sharks, rays, chimaeras",Large sharks (>=90 cm),Sharks & rays,Sélaciens L prof | Sélaciens L côtiers | Sélaciens M prof | Sélaciens M côtiers,,low,composite_split,Cartilaginous catch is allocated over the four documented shark/ray pools; no chimaera group is represented.
Acanthocybium solandri,Wahoo,Large pelagics (>=90 cm),Perch-likes,Thons mineurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Decapterus,Scads,Medium pelagics (30 - 89 cm),Perch-likes,Pel S inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Murex,Murex shells,Other demersal invertebrates,Molluscs,Benthos,,high,taxonomic_containment,Non-cephalopod benthic molluscs and echinoderms are explicitly included in Benthos on p.126.
Trichiuridae,Cutlassfishes,Large benthopelagics (>=90 cm),Perch-likes,Côtier L pred,,medium,taxonomic_containment,Family catch spans the union of all Table 6 member groups belonging to Trichiuridae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Acanthurus,Surgeonfishes,Small reef assoc. fish (<30 cm),Perch-likes,Mulets,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Teuthida,Squids,Cephalopods,Other fishes & inverts,Céphalopodes,,high,taxonomic_containment,"Source p.125 explicitly includes all cephalopods, including octopus, cuttlefish and squid."
Gastropoda,Sea snails,Other demersal invertebrates,Molluscs,Benthos,,high,taxonomic_containment,Non-cephalopod benthic molluscs and echinoderms are explicitly included in Benthos on p.126.
Crassostrea,Cupped oysters,Other demersal invertebrates,Molluscs,Benthos,,high,taxonomic_containment,Non-cephalopod benthic molluscs and echinoderms are explicitly included in Benthos on p.126.
Istiophorus albicans,Atlantic sailfish,Large pelagics (>=90 cm),Tuna & billfishes,Thons majeurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Sepia officinalis,Common cuttlefish,Cephalopods,Other fishes & inverts,Céphalopodes,,high,taxonomic_containment,"Source p.125 explicitly includes all cephalopods, including octopus, cuttlefish and squid."
Scomberomorus,Spanish mackerels,Large pelagics (>=90 cm),Perch-likes,Thons mineurs,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Balistes,Triggerfish,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts,Dem M inv,,medium,taxonomic_containment,Genus-level catch spans exactly the Table 6 groups containing its documented species. No habitat class overrides those placements.
Cynoglossus canariensis,Canary tonguesole,Small to medium flatfishes (<90 cm),Flatfishes,Côtier M inv,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
Mollusca,"Clams, seasnails, squids, octopuses",Other demersal invertebrates,Molluscs,Céphalopodes | Benthos,,medium,composite_split,Molluscs span cephalopods (p.125) and benthic bivalves/gastropods (p.126); both source-defined groups are required.
Cheilopogon melanurus,Atlantic flyingfish,Small pelagics (<30 cm),Other fishes & inverts,Pel S inv,,medium,analogue,"Species not individually listed: its genus has one documented Table 6 group, supported by the catch's Small pelagics (<30 cm) class. Congeneric extension is inference."
Aristeus varidens,Striped red shrimp,Shrimps,Crustaceans,Crustacés,,high,taxonomic_containment,WoRMS crustacean taxonomy and SAU shrimp/crab/lobster class agree with the source Crustacés definition on p.125.
Rajidae,Stingrays,Large rays (>=90 cm),Sharks & rays,Sélaciens L prof | Sélaciens M prof,,medium,composite_split,Family catch spans the union of all Table 6 member groups belonging to Rajidae under WoRMS. Every candidate is supported by a source member; source placement outranks SAU habitat class.
Xiphias gladius,Swordfish,Large pelagics (>=90 cm),Tuna & billfishes,Thons majeurs,,high,explicit_member,Guénette & Diallo 2004 Table 6 p.131 explicitly lists this taxon in the named group(s); printed and accepted names checked against WoRMS.
