taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Pampus argenteus,Silver pomfret,Medium benthopelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,explicit_member,Supplementary Table S1 lists Pampus argenteus under Planktivores/piscivores.
Priacanthus,Bigeyes,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,taxonomic_containment,Supplementary Table S1 lists Priacanthus macracanthus in Benthivores/piscivores; this genus-level record is that genus.
Synodontidae,"Lizardfishes, sauries",Medium demersals (30 - 89 cm),Other fishes & inverts,Piscivores,,high,taxonomic_containment,"Supplementary Table S1 lists the synodontid Saurida tumbil in Piscivores; this family record is that family. The one synodontid the model treats separately, Harpadon nehereus, is reported under its own Sea Around Us name."
Paralichthys olivaceus,Bastard halibut,Large flatfishes (>=90 cm),Flatfishes,Piscivores,,medium,habitat_size_guild,Bastard halibut is an ambush piscivore taking mainly fish and squid as an adult.
Coryphaena hippurus,Common dolphinfish,Large pelagics (>=90 cm),Perch-likes,Piscivores,,high,explicit_member,Supplementary Table S1 lists Coryphaena hippurus under Piscivores.
Nemipterus virgatus,Golden threadfin bream,Medium demersals (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,explicit_member,Supplementary Table S1 lists Nemipterus virgatus under Benthivores/piscivores; the paper's discussion names it as an exemplar of that group.
Salmonidae,Salmonids,Large benthopelagics (>=90 cm),"Salmon, smelts, etc",Planktivores/piscivores,,low,analogue,"Family record for the same marginal salmonid catch as the Oncorhynchus record; placed by analogy in the mixed plankton-and-fish guild, with the same caveat that the model has no anadromous compartment."
Portunus pelagicus,Blue swimming crab,"Lobsters, crabs",Crustaceans,Crabs,,high,taxonomic_containment,"Blue swimming crab fall inside the model's Crabs group, which Supplementary Table S1 fills with six portunids (Portunus trituberculatus, Charybdis feriatus, C. bimaculata, P. sanguinolentus, C. acuta, P. argentatus)."
Sardinella zunasi,Japanese sardinella,Small pelagics (<30 cm),Herring-likes,Planktivores,,high,taxonomic_containment,Supplementary Table S1 lists Sardinella aurita in Planktivores; this record is another species of that listed genus.
Charybdis,Whirlpool swimming crabs,"Lobsters, crabs",Crustaceans,Crabs,,high,taxonomic_containment,"The genus Charybdis fall inside the model's Crabs group, which Supplementary Table S1 fills with six portunids (Portunus trituberculatus, Charybdis feriatus, C. bimaculata, P. sanguinolentus, C. acuta, P. argentatus)."
Magallana gigas,Pacific cupped oyster,Other demersal invertebrates,Molluscs,Mollusks,,high,explicit_member,Supplementary Table S1 defines the model's Mollusks group as 'Bivalves'; this record is a bivalve.
Anadara,"Arks, blood cockles",Other demersal invertebrates,Molluscs,Mollusks,,high,explicit_member,Supplementary Table S1 defines the model's Mollusks group as 'Bivalves'; this record is a bivalve.
Echinoidea,"Sea urchins, sea hedgehogs",Other demersal invertebrates,Other fishes & inverts,Echinoderms,,high,taxonomic_containment,"Sea urchins fall inside the model's Echinoderms group, which Supplementary Table S1 represents by Ophiuroidea and which is the model's only echinoderm compartment."
Decapterus maruadsi,Japanese scad,Small pelagics (<30 cm),Perch-likes,Planktivores/piscivores,,high,explicit_member,Supplementary Table S1 lists Decapterus maruadsi under Planktivores/piscivores; the paper names it the group's dominant species in M1997.
Lateolabrax japonicus,Japanese seabass,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,medium,habitat_size_guild,"Japanese seabass takes both shrimps and fish in coastal and estuarine water, matching the mixed benthivore-piscivore guild of Supplementary Table S1."
Priacanthus macracanthus,Red bigeye,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,explicit_member,Supplementary Table S1 lists Priacanthus macracanthus under Benthivores/piscivores.
Exocoetidae,Flyingfishes,Small pelagics (<30 cm),Other fishes & inverts,Planktivores,,medium,habitat_size_guild,"Flyingfishes are epipelagic zooplanktivores feeding on copepods and other small crustaceans, matching the Planktivores guild rather than the carnivorous Omnivores roster of Supplementary Table S1 (Nibea albiflora, Acanthopagrus schlegelii, Caranx sexfasciatus)."
Scomber australasicus,Blue mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/Benthivores,,high,taxonomic_containment,Supplementary Table S1 lists the congener Scomber japonicus in Planktivores/Benthivores; blue mackerel is the same genus with the same mixed plankton-and-benthos diet.
Mytilus coruscus,Korean mussel,Other demersal invertebrates,Molluscs,Mollusks,,high,explicit_member,Supplementary Table S1 defines the model's Mollusks group as 'Bivalves'; this record is a bivalve.
Atrobucca nibe,Blackmouth croaker,Medium demersals (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,explicit_member,Supplementary Table S1 lists Atrobucca nibe under Benthivores/piscivores.
Spratelloides gracilis,Silver-stripe round herring,Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,habitat_size_guild,"Silver-stripe round herring is a small schooling zooplanktivore, the Planktivores type of Supplementary Table S1 (Sardinella aurita, Thryssa spp.)."
Ruvettus pretiosus,Oilfish,Large benthopelagics (>=90 cm),Perch-likes,Benthivores/piscivores,,medium,habitat_size_guild,"Oilfish is a deep-slope gempylid taking fish, squid and crustaceans; Supplementary Table S1 places the gempylid Rexea prometheoides in Benthivores/piscivores."
Lutjanidae,Snappers,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,habitat_size_guild,"Snappers are nocturnal predators taking mainly fish and large crustaceans, matching the model's fish-eating guild."
Sebastidae,"Rockfishes, rockcods, thornyheads",Medium demersals (30 - 89 cm),Scorpionfishes,Benthivores/piscivores,,medium,habitat_size_guild,"Rockfishes and thornyheads are demersal ambush predators on crustaceans and fish, matching the model's mixed benthivore-piscivore guild."
Pleurogrammus azonus,Okhotsk atka mackerel,Medium demersals (30 - 89 cm),Scorpionfishes,Planktivores/Benthivores,,medium,habitat_size_guild,"Okhotsk atka mackerel is a semi-pelagic zooplanktivore, feeding mainly on copepods and euphausiids in midwater and secondarily on benthos, so it belongs with the model's mixed plankton-and-benthos guild rather than with the piscivorous hexagrammid Hexagrammos. This corrects an inherited assignment to Benthivores/piscivores."
Bathylagidae,Deepsea smelts,Small bathypelagics (<30 cm),"Salmon, smelts, etc",Planktivores,,medium,habitat_size_guild,"Deepsea smelts are small mesopelagic zooplanktivores. Supplementary Table S1 places the mesopelagic myctophid Benthosema pterotum, the group's dominant species, in Planktivores, so the model's plankton-feeding guild is where mesopelagic filter feeders belong."
Clupeiformes,"Herrings, shads, anchovies",Small pelagics (<30 cm),Other fishes & inverts,Planktivores | Planktivores/Benthivores | Omnivores,,medium,composite_split,"Order-level record. Supplementary Table S1 places clupeiforms in three groups: Thryssa dussumieri, T. vitrirostris, T. kammalensis, Stolephorus commersonnii and Sardinella aurita in Planktivores, Setipinna tenuifilis in Planktivores/Benthivores, and Ilisha elongata in Omnivores. Apportioned by the catch composition of the identified clupeiforms."
Mullidae,Goatfishes,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores,,medium,habitat_size_guild,"Goatfishes sift the sediment with their barbels for polychaetes and small crustaceans, the Benthivores definition of Supplementary Table S1."
